INIZIO_TRIM;FINE_TRIM;CATEGORIA_OPERAZIONI ;CLASSE_IMPORTO;TEGM;SOGLIA 2
01/07/1998;30/09/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;20,63;30,945
01/07/1998;30/09/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;16,78;25,17
01/07/1998;30/09/1998;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;21,88;32,82
01/07/1998;30/09/1998;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;12,88;19,32
01/07/1998;30/09/1998;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;10,66;15,99
01/07/1998;30/09/1998;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;8,65;12,975
01/07/1998;30/09/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;30,1;45,15
01/07/1998;30/09/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;21,34;32,01
01/07/1998;30/09/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;14,23;21,345
01/07/1998;30/09/1998;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;7,84;11,76
01/10/1998;31/12/1998;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;13,94;20,91
01/10/1998;31/12/1998;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;11,07;16,605
01/10/1998;31/12/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;9,97;14,955
01/10/1998;31/12/1998;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;8,82;13,23
01/10/1998;31/12/1998;FACTORING;fino a 100 milioni di lire;10,74;16,11
01/10/1998;31/12/1998;FACTORING;oltre 100 milioni di lire;8,98;13,47
01/10/1998;31/12/1998;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;12,62;18,93
01/10/1998;31/12/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;24,64;36,96
01/10/1998;31/12/1998;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);oltre 10 milioni di lire;18,7;28,05
01/10/1998;31/12/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);fino a 10 milioni di lire;19,06;28,59
01/10/1998;31/12/1998;PRESTITI CONTRO CESSIONE DEL QUINTO DELLO STIPENDIO (fino al 31 dicembre 2009);oltre 10 milioni di lire;16,34;24,51
01/10/1998;31/12/1998;LEASING (fino al 31 dicembre 2009);fino a 10 milioni di lire;17,67;26,505
01/10/1998;31/12/1998;LEASING (fino al 31 dicembre 2009);da 10 a 50 milioni di lire;12,25;18,375
01/10/1998;31/12/1998;LEASING (fino al 31 dicembre 2009);da 50 a 100 milioni di lire;10,2;15,3
01/10/1998;31/12/1998;LEASING (fino al 31 dicembre 2009);oltre 100 milioni di lire;8,12;12,18
01/10/1998;31/12/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);fino a 2,5 milioni di lire;29,52;44,28
01/10/1998;31/12/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);da 2,5 a 10 milioni di lire;20,64;30,96
01/10/1998;31/12/1998;CREDITO FINALIZZATO ALL'ACQUISTO RATEALE (fino al 30 giugno 2003);oltre 10 milioni di lire;13,69;20,535
01/10/1998;31/12/1998;MUTUI IPOTECARI A TASSO FISSO E VARIABILE (fino al 30 giugno 2004);intera distribuzione;7,33;10,995
01/01/1999;31/03/1999;APERTURE DI CREDITO IN CONTO CORRENTE;fino a 10 milioni di lire;12,84;19,26
01/01/1999;31/03/1999;APERTURE DI CREDITO IN CONTO CORRENTE;oltre 10 milioni di lire;9,96;14,94
01/01/1999;31/03/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);fino a 10 milioni di lire;9,33;13,995
01/01/1999;31/03/1999;ANTICIPI, SCONTI COMMERCIALI E ALTRI FINANZIAMENTI ALLE IMPRESE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);oltre 10 milioni di lire;7,66;11,49
01/01/1999;31/03/1999;FACTORING;fino a 100 milioni di lire;9,15;13,725
01/01/1999;31/03/1999;FACTORING;oltre 100 milioni di lire;7,8;11,7
01/01/1999;31/03/1999;CREDITI PERSONALI E ALTRI FINANZIAMENTI ALLE FAMIGLIE EFFETTUATI DALLE BANCHE (fino al 31 dicembre 2009);intera distribuzione;11,68;17,52
01/01/1999;31/03/1999;ANTICIPI, SCONTI COMMERCIALI, CREDITI PERSONALI E ALTRI FINANZIAMENTI EFFETTUATI DAGLI INTERMEDIARI NON BANCARI (fino al 31 dicembre 2009);fino a 10 milioni di lire;24,22;36,33
